Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Image URL
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,Yes,Yes,22,Debit Card,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.71
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,Yes,Store Pickup,Yes,Yes,32,Debit Card,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.72
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40,Credit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.73
25,,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,Yes,Store Pickup,Yes,Yes,16,Debit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.74
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,Yes,Express,Yes,Yes,14,PayPal,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.75
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,Yes,Yes,13,Credit Card,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.76
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5,Yes,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.77
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.78
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,Yes,Yes,14,Credit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.79
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,Yes,Standard,Yes,Yes,16,Credit Card,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.80
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,Yes,Yes,45,Venmo,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.81
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37,Venmo,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.82
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.83
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,Yes,2-Day Shipping,Yes,Yes,38,PayPal,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.84
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4,Yes,2-Day Shipping,Yes,Yes,48,Credit Card,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.85
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,Yes,Free Shipping,Yes,Yes,44,PayPal,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.86
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,Yes,Store Pickup,Yes,Yes,10,PayPal,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.87
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.7,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.88
40,70,Male,Pants,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Express,Yes,Yes,18,Credit Card,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.89
41,69,Male,Handbag,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,Next Day Air,Yes,Yes,31,Debit Card,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.90
42,67,Male,Scarf,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Standard,Yes,Yes,40,Venmo,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.91
43,20,Male,Coat,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Free Shipping,Yes,Yes,15,PayPal,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.92
44,25,Male,Scarf,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,Store Pickup,Yes,Yes,19,PayPal,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.93
45,39,Male,Hat,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Free Shipping,Yes,Yes,45,PayPal,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.94
46,50,Male,Socks,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,2-Day Shipping,Yes,Yes,25,PayPal,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.95
47,57,Male,Shirt,Clothing,43,California,L,White,Summer,2.9,Yes,Store Pickup,Yes,Yes,45,Cash,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.96
48,55,Male,Jewelry,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Free Shipping,Yes,Yes,36,Cash,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.97
49,42,Male,Shirt,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Store Pickup,Yes,Yes,38,Cash,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.98
50,68,Male,Hoodie,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Next Day Air,Yes,Yes,34,Debit Card,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.99
51,49,Male,Blouse,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Store Pickup,Yes,Yes,39,Debit Card,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.100
52,59,Male,Skirt,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,7,Credit Card,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.101
53,42,Male,T-shirt,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Free Shipping,Yes,Yes,26,Credit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.102
54,29,Male,Skirt,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Next Day Air,Yes,Yes,35,Credit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.103
55,47,Male,Coat,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Next Day Air,Yes,Yes,35,Debit Card,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.104
56,40,Male,Jacket,Outerwear,28,South Carolina,M,Lavender,Winter,3,Yes,2-Day Shipping,Yes,Yes,49,Credit Card,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.105
57,41,Male,Backpack,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,Store Pickup,Yes,Yes,46,Credit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.106
58,21,Male,Coat,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,Store Pickup,Yes,Yes,17,Debit Card,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.107
59,69,Male,Hoodie,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Free Shipping,Yes,Yes,29,Venmo,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.108
60,63,Male,Belt,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Standard,Yes,Yes,4,Debit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.109
61,50,Male,Sweater,Clothing,37,Idaho,L,Brown,Summer,4,Yes,Express,Yes,Yes,17,Cash,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.110
62,55,Male,Scarf,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Store Pickup,Yes,Yes,21,Credit Card,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.111
63,30,Male,Sneakers,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Free Shipping,Yes,Yes,31,Credit Card,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.112
64,33,Male,Sunglasses,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,2-Day Shipping,Yes,Yes,43,Credit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.113
65,65,Male,Boots,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,Standard,Yes,Yes,18,Debit Card,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.114
66,65,Male,Backpack,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Venmo,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.115
67,31,Male,Blouse,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,2-Day Shipping,Yes,Yes,3,Venmo,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.116
68,45,Male,Coat,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,Store Pickup,Yes,Yes,49,Debit Card,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.117
69,57,Male,Handbag,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Next Day Air,Yes,Yes,21,Cash,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.118
70,48,Male,Belt,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Express,Yes,Yes,5,Cash,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.119
71,22,Male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32,Debit Card,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.120
72,36,Male,Dress,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Express,Yes,Yes,34,Bank Transfer,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.121
73,18,Male,Dress,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Store Pickup,Yes,Yes,21,Bank Transfer,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.122
74,48,Male,Pants,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Free Shipping,Yes,Yes,43,Bank Transfer,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.123
75,49,Male,Gloves,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,Express,Yes,Yes,3,Cash,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.124
76,64,Male,Scarf,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Free Shipping,Yes,Yes,21,Credit Card,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.125
77,50,Male,Hat,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Free Shipping,Yes,Yes,32,Venmo,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.126
78,22,Male,Dress,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Next Day Air,Yes,Yes,36,Debit Card,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.127
79,50,Male,Skirt,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Free Shipping,Yes,Yes,50,Venmo,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.128
80,38,Male,Jacket,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,2-Day Shipping,Yes,Yes,43,Bank Transfer,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.129
81,19,Male,Sandals,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Store Pickup,Yes,Yes,24,Credit Card,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.130
82,67,Male,Shoes,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,Express,Yes,Yes,36,Credit Card,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.131
83,19,Male,Pants,Clothing,28,Georgia,S,Olive,Spring,4,Yes,2-Day Shipping,Yes,Yes,21,Credit Card,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.132
84,36,Male,Dress,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Standard,Yes,Yes,34,Bank Transfer,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.133
85,52,Male,Coat,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Standard,Yes,Yes,42,Bank Transfer,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.134
86,53,Male,Sunglasses,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Next Day Air,Yes,Yes,2,Debit Card,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.135
87,24,Male,Hoodie,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,2-Day Shipping,Yes,Yes,47,Cash,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.136
88,52,Male,Shoes,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,2-Day Shipping,Yes,Yes,44,Debit Card,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.137
89,33,Male,T-shirt,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Free Shipping,Yes,Yes,35,Credit Card,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.138
90,,Male,Jacket,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Next Day Air,Yes,Yes,15,Cash,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.139
91,25,Male,Hat,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Express,Yes,Yes,29,Credit Card,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.140
92,44,Male,Scarf,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,Standard,Yes,Yes,18,Credit Card,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.141
93,61,Male,Jacket,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,2-Day Shipping,Yes,Yes,13,Venmo,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.142
94,37,Male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46,Credit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.143
95,58,Male,Skirt,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Free Shipping,Yes,Yes,28,Credit Card,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.144
96,37,Male,Sneakers,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,Free Shipping,Yes,Yes,48,PayPal,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.145
97,32,Male,Gloves,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Express,Yes,Yes,43,Venmo,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.146
98,21,Male,Shoes,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,Store Pickup,Yes,Yes,37,Cash,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.147
99,20,Male,Jeans,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Next Day Air,Yes,Yes,20,Bank Transfer,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.148
100,26,Male,Hoodie,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Express,Yes,Yes,33,Debit Card,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.149
101,62,Male,Sunglasses,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,Express,Yes,Yes,31,Cash,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.150
102,27,Male,Coat,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Express,Yes,Yes,50,Credit Card,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.151
103,51,Male,Socks,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Next Day Air,Yes,Yes,35,Credit Card,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.152
104,54,Male,Boots,Footwear,89,West Virginia,L,Red,Winter,4,Yes,Next Day Air,Yes,Yes,22,Venmo,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.153
105,55,Male,Sunglasses,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,2-Day Shipping,Yes,Yes,1,PayPal,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.154
106,69,Male,Backpack,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Next Day Air,Yes,Yes,4,Bank Transfer,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.155
107,64,Male,Jacket,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Standard,Yes,Yes,31,Credit Card,Monthly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.156
108,28,Male,Sneakers,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Next Day Air,Yes,Yes,46,PayPal,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.157
109,70,Male,Socks,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Next Day Air,Yes,Yes,32,Bank Transfer,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.158
110,58,Male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43,Bank Transfer,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.159
111,56,Male,Backpack,Accessories,26,New York,M,Black,Summer,4,Yes,Standard,Yes,Yes,26,Venmo,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.160
112,26,Male,Belt,Accessories,75,Massachusetts,L,Purple,Summer,5,Yes,Free Shipping,Yes,Yes,9,Credit Card,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.161
113,37,Male,Gloves,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Free Shipping,Yes,Yes,28,PayPal,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.162
114,44,Male,Hat,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Next Day Air,Yes,Yes,20,PayPal,Quarterly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.163
115,70,Male,Coat,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Store Pickup,Yes,Yes,9,Cash,Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.164
116,53,Male,Skirt,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Standard,Yes,Yes,48,Debit Card,Every 3 Months,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.165
117,55,Male,Shoes,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,Free Shipping,Yes,Yes,12,Venmo,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.166
118,50,Male,Sandals,Footwear,1234,South Dakota,L,Yellow,Summer,4.6,Yes,Express,Yes,Yes,29,Cash,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.167
119,50,Male,Sweater,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,2-Day Shipping,Yes,Yes,27,Cash,Bi-Weekly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.168
120,38,Male,Coat,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Express,Yes,Yes,44,Cash,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.169
121,64,Male,Hat,Accessories,84,West Virginia,L,Red,Summer,4,Yes,Express,Yes,Yes,32,Bank Transfer,Annually,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.170
122,19,Male,Shorts,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Standard,Yes,Yes,11,Cash,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.171
123,40,Male,Backpack,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,2-Day Shipping,Yes,Yes,44,Cash,Fortnightly,https://www.collinsdictionary.com/images/thumb/dress_31690953_250.jpg?version=5.0.172
